RoadCategory,LinkLength_km,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,AllMotorVehicles
PU,0.2,123,19769,660,2488,23547
PU,0.8,4719,55207,2774,9382,74932
PU,1.2,185,13092,439,1481,15383
PU,1.7,328,8405,248,1791,11191
PU,0.9,1404,13559,1790,3377,21054
PU,0.8,495,13974,932,3406,20111
PU,0.1,2356,21017,1160,4900,30237
PU,0.7,233,10482,553,1499,13066
PU,1.2,172,15295,456,1377,17536
PU,0.3,244,3920,301,957,5577
PU,1.8,425,16574,607,2023,20057
PU,0.4,395,8393,853,1503,11323
PU,2.1,636,23067,801,3161,28473
PU,0.6,634,12139,615,1991,15763
PU,2.4,155,16926,441,2287,20073
PU,0.7,80,7393,166,796,8512
PU,0.7,282,11533,1145,2081,15501
PU,0.7,212,17343,184,3024,21181
PR,0.8,45,3292,11,650,4095
PU,0.8,1334,13613,665,3218,19233
PU,0.4,182,6831,549,765,8436
PU,0.4,91,1421,7,453,2040
PU,1.4,371,8778,557,1784,11696
PU,1.6,219,12498,170,2561,16203
PU,1.9,228,12282,154,1946,14915
PU,2.2,273,6701,0,1441,8878
PU,2.3,155,8792,583,1156,10841
PU,0.7,338,9648,848,1253,12230
PU,1.7,405,10058,1024,1766,13693
PU,0.8,416,6592,487,1063,8831
PU,0.8,226,17880,248,2055,20546
PU,0.2,996,16524,842,3431,22420
PU,0.4,1712,10437,2121,2771,17722
PU,0.7,781,13443,309,3351,18465
PU,1.1,2020,12990,881,2689,19270
PU,0.8,1777,14632,3093,2848,23014
PU,0.8,2292,17449,1516,5168,27831
PU,0.5,1607,15853,256,1654,19606
PU,0.5,760,14109,333,3901,19934
PU,0.3,762,13214,578,2756,18193
PU,0.9,269,8443,301,2250,12417
PU,1.3,273,11660,247,2079,15035
PU,2.1,375,4930,416,1223,7221
PU,1.2,403,14842,424,3023,19299
PU,2.5,174,13595,551,1544,16038
PU,3.3,469,14987,1554,1682,19042
PU,4,337,25087,840,3063,29707
PU,3.3,197,15779,335,1573,18437
PU,2,69,8678,28,836,9828
PU,2.5,229,12932,57,2202,15734
PU,1.5,571,7246,378,1944,10560
PU,0.9,776,13154,1675,2734,18620
PU,2,89,16812,296,1768,19223
PU,1.5,770,9671,394,2545,14088
